Nom,Nombre de parties gagnées,Pourcentage de parties gagnées(%),Nombre d'égalités,Pourcentage d'égalités(%),Nombre de parties perdues,Pourcentage de parties perdues(%),Score moyen
Sara,169,16.9,27,2.7,804,80.4,19.592
Stacy,389,38.9,51,5.1,560,56.0,22.9
Nora,180,18.0,37,3.7,783,78.3,20.491
Alban,70,7.0,19,1.9,911,91.1,17.369
Richardo,114,11.4,25,2.5,861,86.1,18.719
RobotDiscret1,182,18.199999,29,2.8999999,789,78.899994,22.047
RobotDiscret2,171,17.1,35,3.5,794,79.4,22.111
RobotDiscret3,192,19.2,34,3.4,774,77.4,21.945
RobotDiscret4,187,18.7,30,3.0,783,78.3,22.112
RobotDiscret5,188,18.8,37,3.7,775,77.5,22.071
Sara,136,13.6,40,4.0,824,82.4,18.992
Stacy,342,34.2,48,4.8,610,61.0,22.421
Nora,256,25.6,51,5.1,693,69.3,20.999
Alban,72,7.2,30,3.0,898,89.8,17.301
Richardo,97,9.700001,32,3.2,871,87.1,18.76
RobotDiscret1,176,17.6,31,3.1,793,79.299995,21.975
RobotDiscret2,197,19.699999,36,3.6,767,76.700005,22.276
RobotDiscret3,179,17.9,43,4.3,778,77.8,22.186
RobotDiscret4,195,19.5,39,3.9,766,76.6,21.999
RobotDiscret5,161,16.1,41,4.1,798,79.799995,22.058
Sara,153,15.299999,22,2.2,825,82.5,19.531
Stacy,344,34.4,53,5.2999997,603,60.3,22.345
Nora,226,22.6,41,4.1,733,73.299995,21.05
Alban,83,8.299999,23,2.3,894,89.4,17.678
Richardo,114,11.4,28,2.8000002,858,85.799995,18.998
RobotDiscret1,163,16.300001,45,4.5,792,79.2,21.779
RobotDiscret2,189,18.9,41,4.1,770,77.0,22.433
RobotDiscret3,162,16.2,50,5.0,788,78.799995,21.856
RobotDiscret4,201,20.1,48,4.8,751,75.1,22.222
RobotDiscret5,180,18.0,39,3.9,781,78.1,21.816
